airport,lat,long,avg_delay,num_flights
Provo Muni,40.21919444,-111.7233611,13.156862745098039,153
Luis Munoz Marin International,18.43941667,-66.00183333,13.136618650492798,6642
Blue Grass ,38.03697222,-84.60538889,13.09892569382274,2304
Tri-State/Walker-Long ,38.36666667,-82.55802778,13.069565217391304,116
Palm Springs International,33.82921556,-116.5062531,13.03268616367658,4182
Canyonlands ,38.75495611,-109.7548439,12.928571428571429,154
Central Nebraska Regional ,40.96747222,-98.30861111,12.900355871886122,292
Tri-Cities,46.26468028,-119.1190292,12.760705289672543,410
Denver Intl,39.85840806,-104.6670019,12.696078431372548,55523
Minneapolis-St Paul Intl,44.88054694,-93.2169225,12.694381221378233,37116
Reno/Tahoe International,39.49857611,-119.7680647,12.629258517034069,4618
Capital,39.84395194,-89.67761861,12.623342175066313,402
Fort Wayne International,40.97846583,-85.19514639,12.608904933814681,1711
Rickenbacker International ,39.81375917,-82.92786472,12.572289156626505,166
Meadows ,35.43359806,-119.0567681,12.52854511970534,552
Hattiesburg-Laurel Regional,31.46714944,-89.33705778,12.525714285714285,180
Greater Rochester Int'l,43.11886611,-77.67238389,12.356311274509803,3447
Shreveport Regional,32.4466275,-93.82559833,12.346911957950066,1565
Austin Straubel International,44.48507333,-88.12959,12.101377952755906,1078
Greater Peoria Regional,40.66424333,-89.69330556,12.07861936720997,1096
General Mitchell International,42.94722222,-87.89658333,12.057205720572057,7620
Akron-Canton Regional,40.91631194,-81.44246556,12.03423772609819,1603
Fayetteville Municipal,34.99147222,-78.88,12.028455284552846,746
Fort Lauderdale-Hollywood Int'l,26.07258333,-80.15275,12.00596876090074,26116
Charlottesville-Albermarle,38.13863889,-78.45286111,11.985315712187958,1416
Key West International,24.55611111,-81.75955556,11.946814728229105,1719
La Crosse Municipal,43.87937972,-91.25653778,11.903301886792454,467
Des Moines International,41.53493306,-93.66068222,11.873427277302467,4111
Bert Mooney,45.95479528,-112.49746,11.838323353293413,167
Springfield-Branson Regional,37.24432611,-93.38685806,11.57173219978746,1933
Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,11.5384679295447,36810
Dallas-Fort Worth International,32.89595056,-97.0372,11.4987772524492,68664
William P Hobby,29.64541861,-95.27888889,11.356395019807584,14665
Buffalo Niagara Intl,42.94052472,-78.73216667,11.319462111575504,5826
Los Angeles International,33.94253611,-118.4080744,11.31010887065859,53095
Laramie Regional,41.31205,-105.6749864,11.305555555555555,153
Asheville Regional,35.43619444,-82.54180556,11.257828810020877,1965
Fresno Yosemite International,36.77619444,-119.7181389,11.254052149400987,2888
Bangor International,44.80744444,-68.82813889,11.233438485804417,667
Orlando International,28.42888889,-81.31602778,11.183751012767859,36332
Lambert-St Louis International,38.74768694,-90.35998972,11.172127962699133,16078
Sarasota Bradenton International,27.39533333,-82.55411111,11.155057251908397,2121
McCarran International,36.08036111,-115.1523333,11.03095537397863,38986
Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,11.002074314574315,11323
Harrisburg Intl,40.19349528,-76.76340361,11.001301236174365,1582
Syracuse-Hancock Intl,43.11118694,-76.10631056,10.991937984496124,3369
Southwest Florida International,26.53616667,-81.75516667,10.878680800942284,12083
Nashville International,36.12447667,-86.67818222,10.799901992812806,18833
Burbank-Glendale-Pasadena,34.20061917,-118.3584969,10.73144399460189,7031
Eppley Airfield,41.30251861,-95.89417306,10.716308427157967,6083
Cleveland-Hopkins Intl,41.41089417,-81.84939667,10.661837021426063,11767
Mobile Regional,30.69141667,-88.24283333,10.575856443719413,1254
Raleigh-Durham International,35.87763889,-78.78747222,10.462509753848337,14335
Roanoke Regional/ Woodrum ,37.32546833,-79.97542833,10.431528662420382,637
Monterey Peninsula,36.5869825,-121.8429478,10.354363827549948,980
Louisville International-Standiford ,38.17438889,-85.736,10.24966235770789,5281
Bishop,42.96550333,-83.74345639,10.218666666666667,788
Dallas Love ,32.84711389,-96.85177222,10.18575514874142,18132
John F Kennedy Intl,40.63975111,-73.77892556,10.146543330087633,31355
Albany Cty,42.74811944,-73.80297861,10.113636363636363,3008
Greater Rockford,42.19536389,-89.09721111,10.080645161290322,189
Norfolk International,36.89461111,-76.20122222,10.063925300772132,5744
Santa Maria Pub/Capt G Allan Hancock ,34.89924833,-120.4575825,10.022222222222222,45
Richmond International,37.50516667,-77.31966667,10.010603163566834,5897
Savannah International,32.12758333,-81.20213889,9.997551020408164,3740
Dothan ,31.32133917,-85.44962889,9.99112426035503,340
Tampa International ,27.97547222,-82.53325,9.942819685357,20182
Ronald Reagan Washington National,38.85208333,-77.03772222,9.787548938189584,35030
Will Rogers World,35.39308833,-97.60073389,9.771513353115727,5546
Cyril E. King,18.33730556,-64.97336111,9.66258246936852,1066
Metropolitan Oakland International,37.72129083,-122.2207167,9.660748843079512,12260
Robert Gray AAF,31.06489778,-97.82779778,9.627005347593583,758
Waterloo Municipal,42.55708139,-92.40034361,9.613333333333333,168
Bush ,33.369955,-81.96449611,9.605581395348837,1086
Central Wisconsin,44.77761917,-89.66677944,9.576512455516013,605
Lehigh Valley International,40.65236278,-75.44040167,9.569457221711131,1117
Dubuque Municipal,42.40295944,-90.70916722,9.558035714285714,258
Washington Dulles International,38.94453194,-77.45580972,9.552579884756417,15591
Erie Intl,42.08202139,-80.17621556,9.497797356828194,230
Manhattan Regional,39.14096722,-96.67083278,9.48984771573604,420
Phoenix Sky Harbor International,33.43416667,-112.0080556,9.43752855185016,44604
Baltimore-Washington International,39.17540167,-76.66819833,9.408804750636246,23365
San Diego International-Lindbergh ,32.73355611,-117.1896567,9.262919059085016,22124
Miami International,25.79325,-80.29055556,9.223441309648207,23173
Tucson International,32.11608333,-110.9410278,9.222672846658941,5273
Muskegon County,43.16948806,-86.23822306,9.189873417721518,180
Salt Lake City Intl,40.78838778,-111.9777731,9.147340889276373,27698
Wichita Mid-Continent,37.64995889,-97.43304583,9.013422818791947,2472
Gulfport-Biloxi Regional,30.40728028,-89.07009278,8.937992125984252,1055
George Bush Intercontinental,29.98047222,-95.33972222,8.886077699433153,43806
Lovell ,35.03526833,-85.20378778,8.830593607305936,2253
Kansas City International,39.29760528,-94.71390556,8.736066473308771,13178
Port Columbus Intl,39.99798528,-82.89188278,8.71683861459101,11150
Chisholm-Hibbing,47.38659917,-92.83899333,8.695364238410596,154
Eglin Air Force Base,30.48325,-86.5254,8.65528146742568,1610
Long Island - MacArthur,40.7952425,-73.10021194,8.644092219020173,1417
Seattle-Tacoma Intl,47.44898194,-122.3093131,8.639062655148447,30769
Ontario International,34.056,-117.6011944,8.579348286077021,4839
Northwest Arkansas Regional,36.28186944,-94.30681111,8.574568288854003,3257
Flagstaff Pulliam,35.13845472,-111.6712183,8.57361963190184,349
Yellowstone Regional,44.52019417,-109.0237961,8.532786885245901,126
Indianapolis International,39.71732917,-86.29438417,8.521984706291276,11856
North Platte Regional ,41.12621194,-100.6836542,8.51388888888889,153
Theodore F Green State,41.72399917,-71.42822111,8.503096358682189,4186
Birmingham International,33.56294306,-86.75354972,8.479484732824428,4279
Pensacola Regional,30.47330556,-87.18744444,8.456780923994039,2736
Albuquerque International,35.04022222,-106.6091944,8.426020408163266,5202
Greenville-Spartanburg,34.89566722,-82.21885833,8.413862525165372,3539
Pittsburgh International,40.49146583,-80.23287083,8.406933517766058,11873
Gainesville Regional,29.69005556,-82.27177778,8.395139513951396,1119
Mercedita,18.00830278,-66.56301194,8.384180790960452,179
Tyler Pounds ,32.35413889,-95.40238611,8.360606060606061,335
Durango-La Plata County,37.15151667,-107.7537692,8.351190476190476,713
Spokane Intl,47.61985556,-117.5338425,8.350130645763345,2718
New Orleans International ,29.99338889,-90.25802778,8.297159295217547,14097
Portland International Jetport,43.64616667,-70.30875,8.256671518680252,2134
Niagara Falls Intl,43.10725861,-78.94538139,8.132478632478632,239
Del Rio International,29.37181222,-100.9232339,8.083798882681565,179
Austin-Bergstrom International,30.19453278,-97.66987194,8.048896321070234,15181
Charlotte/Douglas International,35.21401111,-80.94312583,8.029270573005627,56310
Jacksonville International,30.49405556,-81.68786111,8.016860897594842,8198
Tweed-New Haven,41.26389889,-72.8871,8.004464285714286,242
St George Muni,37.09058333,-113.5930556,7.964130434782609,929
Piedmont Triad International,36.09774694,-79.9372975,7.856820107314318,3622
William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,7.801100739221928,93418
John Wayne /Orange Co,33.67565861,-117.8682225,7.701961182806626,9990
Memphis International,35.04241667,-89.97666667,7.677295696114306,5851
Bradley International,41.93887417,-72.68322833,7.547667050691245,7173
Tri-Cities Regional,36.47521417,-82.40742056,7.486434108527132,519
McGhee-Tyson,35.81248722,-83.99285583,7.306191279209829,4215
Mbs International,43.53291472,-84.07964722,7.1200686106346485,617
Wilkes-Barre/Scranton Intl,41.33814944,-75.7242675,7.115277777777778,751
Columbus Metropolitan,32.51633333,-84.93886111,7.111913357400722,279
Friedman Memorial,43.50484139,-114.2965903,7.045569620253165,558
James M Cox Dayton Intl,39.90237583,-84.219375,7.037780803267529,3042
Valdosta Regional,30.7825,-83.27672222,7.031746031746032,253
Wilmington International,34.27061111,-77.90255556,7.027777777777778,1579
Hilton Head,32.224384,-80.697629,6.911290322580645,257
Southwest Georgia Regional,31.535515,-84.19447333,6.827309236947791,250
Jackson International,32.31116667,-90.07588889,6.813169164882227,1905
Sacramento International,38.69542167,-121.5907669,6.781340851026341,11600
Adams ,34.72939611,-92.22424556,6.710424710424711,3163
Roswell Industrial Air Center,33.30155556,-104.5305556,6.709779179810726,324
Southeast Texas Regional,29.95083333,-94.02069444,6.6960352422907485,233
Boise Air Terminal,43.56444444,-116.2227778,6.635464733025708,4610
Kearney Municipal,40.72702778,-99.00677778,6.594405594405594,153
Rock Springs-Sweetwater County,41.5942175,-109.0651928,6.52,180
Pago Pago International,14.33102278,-170.7105258,6.518518518518518,27
Philadelphia Intl,39.87195278,-75.24114083,6.465123282514587,27163
Charleston AFB/International,32.89864639,-80.04050583,6.399885474327162,5329
San Jose International,37.36186194,-121.9290089,6.390609390609391,14389
Evansville Regional,38.03799139,-87.53062667,6.325531914893617,964
Lafayette Regional,30.20527972,-91.987655,6.318181818181818,1189
Cedar City Muni,37.70097028,-113.098575,6.318181818181818,154
Tulsa International,36.19837222,-95.88824167,6.317290994790374,4102
El Paso International,31.80666667,-106.3778056,6.316271963330787,3981
Manchester,42.93451639,-71.43705583,6.267042253521127,1861
Monroe Regional,32.51086556,-92.03768778,6.2432835820895525,677
Kahului,20.89864972,-156.4304578,6.18678629690049,6151
Columbia Metropolitan,33.93884,-81.11953944,6.178703215603584,1913
Long Beach (Daugherty ),33.81772222,-118.1516111,6.028851702250432,3490
Adak,51.87796389,-176.6460306,6,26
San Antonio International,29.53369444,-98.46977778,5.950394354503944,9806
Amarillo International,35.2193725,-101.7059272,5.868312757201646,1249
Garden City Regional,37.92751556,-100.7244147,5.804878048780488,180
McAllen Miller International,26.17583333,-98.23861111,5.793739967897271,1262
"Baton Rouge Metropolitan, Ryan ",30.53316083,-91.14963444,5.792303338992643,1797
Portland Intl,45.58872222,-122.5975,5.769124289669241,13921
Sheppard AFB/Wichita Falls Municipal,33.98879611,-98.49189333,5.684,262
Brownsville/S.Padre Island International,25.90683333,-97.42586111,5.623287671232877,606
Falls International,48.56618722,-93.40306667,5.598684210526316,154
Midland International,31.94252778,-102.2019139,5.5602409638554215,2203
Lubbock International,33.66363889,-101.8227778,5.435625,1651
Valley International,26.22850611,-97.65439389,5.4101825168107585,1056
Orlando Sanford,28.77764,-81.23748944,5.397411496003046,2641
Daytona Beach International,29.17991667,-81.05805556,5.372596153846154,834
Helena Regional,46.60681806,-111.9827503,5.197568389057751,330
Abilene Regional,32.41132,-99.68189722,5.17864476386037,490
Huntsville International ,34.6404475,-86.77310944,5.163227016885553,2177
Elko Regional,40.82492611,-115.7916964,5.08641975308642,167
Alexandria International,31.32737167,-92.54855611,4.936774193548387,782
Glacier Park Intl,48.31140472,-114.2550694,4.918238993710692,484
Sonoma Co,38.50897694,-122.8128803,4.856846473029045,497
Arnold Palmer Regional,40.27594,-79.40479722,4.8,277
Glynco Jetport,31.25902778,-81.46630556,4.760162601626016,248
Albert J Ellis,34.82916444,-77.61213778,4.7387267904509285,760
Charlotte County,26.92019444,-81.99052778,4.593316519546028,1593
Myrtle Beach International,33.67975,-78.92833333,4.267819706498952,1926
Laredo International,27.54373861,-99.46154361,4.262798634812286,589
Golden Triangle Regional,33.45033444,-88.59136861,4.209677419354839,249
Honolulu International,21.31869111,-157.9224072,4.116029742348262,11580
Billings Logan Intl,45.8076625,-108.5428611,4.0525,807
Idaho Falls Regional,43.51455556,-112.0701667,3.9045454545454548,443
Craven County Regional,35.07297222,-77.04294444,3.8263358778625953,534
Easterwood ,30.58858944,-96.36382417,3.751865671641791,548
Lawton-Ft Sill Regional,34.56771444,-98.41663667,3.528428093645485,313
Gregg County,32.38486111,-94.71171,3.142857142857143,197
Corpus Christi International,27.77036083,-97.50121528,3.126228269085412,1363
Melbourne International ,28.10275,-80.64580556,3.079754601226994,655
Scotts Bluff County,41.87402778,-103.5956389,3.0357142857142856,153
Tallahassee Regional,30.39652778,-84.35033333,2.7443915703602992,1483
Walker ,39.1224125,-108.5267347,2.669693530079455,887
Lihue,21.97598306,-159.3389581,2.647590361445783,3327
Kona International At Keahole,19.73876583,-156.0456314,2.2438465941614196,3512
Missoula International,46.91630556,-114.0905556,2.2420701168614356,601
Wrangell,56.48432583,-132.3698242,2.2057142857142855,180
Lynchburg Municipal-Preston Glenn ,37.32668528,-79.20043056,2.150326797385621,157
Texarkana Regional-Webb ,33.45370806,-93.99102,2.143426294820717,252
Newport News/Williamsburg International,37.13189556,-76.4929875,2.134831460674157,356
Ernest A. Love ,34.65447222,-112.4195833,2.069364161849711,180
Yuma MCAS-Yuma International,32.65658333,-114.6059722,1.704,375
Henry E. Rohlsen ,17.70188889,-64.79855556,1.6428571428571428,240
Fort Smith Regional,35.33659028,-94.36744111,1.6212424849699398,506
Pease International Tradeport,43.07795889,-70.82327333,1.614814814814815,136
James C. Johnson Petersburg,56.80165194,-132.9452781,1.4795321637426901,180
Stillwater Regional,36.16025194,-97.08577028,1.1428571428571428,180
Bellingham Intl,48.79275,-122.5375278,1.1402027027027026,601
Tinian International Airport,14.996111,145.621384,0.9130434782608695,116
Atlantic City International,39.45758333,-74.57716667,0.8574712643678161,870
Natrona County Intl,42.90835556,-106.4644661,0.7411167512690355,198
Waco Regional,31.61128833,-97.23051917,0.34234234234234234,341
Juneau International,58.35496194,-134.5762764,0.2833333333333333,938
Hilo International,19.72026306,-155.0484703,0.2720797720797721,1405
Pocatello Regional,42.91130556,-112.5958611,0.05185185185185185,270
Lea County Regional,32.68752778,-103.2170278,0.04294478527607362,167
Lake Charles Regional,30.1260975,-93.22340361,-0.4092827004219409,485
Ted Stevens Anchorage International,61.17432028,-149.9961856,-0.7638085218306154,3848
St. Petersburg-Clearwater International,27.91076333,-82.68743944,-0.9800323799244468,1864
Ketchikan International,55.35556861,-131.71374,-1.0417495029821073,514
Ralph Wien Memorial,66.88467694,-162.5985497,-1.1235294117647059,180
Bethel,60.77977639,-161.8379975,-1.2525773195876289,204
Liberal Municipal,37.04420944,-100.9598611,-1.3402777777777777,153
San Angelo Regional /Mathis ,31.35775,-100.4963056,-1.3547557840616966,393
Snohomish County ,47.90762861,-122.2815892,-1.5,4
Pueblo Memorial,38.28908722,-104.4965722,-1.8591549295774648,229
Guam International,13.48345,-144.7959825,-2.3480392156862746,207
Lewiston-Nez Perce County,46.37449806,-117.0153944,-3.7222222222222223,199
Fairbanks International,64.8136775,-147.8596694,-4.552342971086739,1015
Sitka,57.04713806,-135.3615983,-5.948818897637795,255
Kodiak ,57.74996778,-152.4938553,-6.269736842105263,154
Yakutat,59.50336056,-139.6602261,-8.695906432748538,178
Nome,64.51220222,-165.4452458,-8.732919254658386,180
Deadhorse,70.19475583,-148.4651608,-9.084745762711865,244
Merle K (Mudhole) Smith,60.49183389,-145.4776503,-9.473988439306359,178
Wiley Post Will Rogers Memorial,71.2854475,-156.7660019,-10.36046511627907,180
